game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_win,winner_team
2011_W03_DET_at_MIN,2011,3,2011-09-25,MIN,DET,23,26,0,DET
2011_W03_GB_at_CHI,2011,3,2011-09-25,CHI,GB,17,27,0,GB
2011_W03_HOU_at_NO,2011,3,2011-09-25,NO,HOU,40,33,1,NO
2011_W03_JAX_at_CAR,2011,3,2011-09-25,CAR,JAX,16,10,1,CAR
2011_W03_KC_at_SD,2011,3,2011-09-25,SD,KC,20,17,1,SD
2011_W03_MIA_at_CLE,2011,3,2011-09-25,CLE,MIA,17,16,1,CLE
2011_W03_NE_at_BUF,2011,3,2011-09-25,BUF,NE,34,31,1,BUF
2011_W03_NYG_at_PHI,2011,3,2011-09-25,PHI,NYG,16,29,0,NYG
2011_W03_NYJ_at_OAK,2011,3,2011-09-25,OAK,NYJ,34,24,1,OAK
2011_W03_PIT_at_IND,2011,3,2011-09-25,IND,PIT,20,23,0,PIT
2011_W03_SF_at_CIN,2011,3,2011-09-25,CIN,SF,8,13,0,SF
2011_W03_WAS_at_DAL,2011,3,2011-09-26,DAL,WAS,18,16,1,DAL
2011_W04_ATL_at_SEA,2011,4,2011-10-02,SEA,ATL,28,30,0,ATL
2011_W04_BUF_at_CIN,2011,4,2011-10-02,CIN,BUF,23,20,1,CIN
2011_W04_CAR_at_CHI,2011,4,2011-10-02,CHI,CAR,34,29,1,CHI
2011_W04_DEN_at_GB,2011,4,2011-10-02,GB,DEN,49,23,1,GB
2011_W04_DET_at_DAL,2011,4,2011-10-02,DAL,DET,30,34,0,DET
